query,role,name,inn,kpp,ogrn,status,address,okved,management_name,management_post,status_score,has_inn,has_ogrn,risk_comment
ООО РБК КОММЕРЧЕСКАЯ ЛОГИСТИКА,Поставщик ингредиентов,ООО РБК КОММЕРЧЕСКАЯ ЛОГИСТИКА,7743428769.0,774301001.0,1237700686497.0,ACTIVE,"125493, г Москва, Головинский р-н, ул Смольная, д 2, помещ 2/9",46.39,Люй Цзин,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ФУДЛАЙН,Поставщик фруктовых пюре,"ООО ""ФУД ЛАЙН""",5024244774.0,502401001.0,1245000077630.0,ACTIVE,"143442, Московская обл, г Красногорск, пгт Сабурово, ул Парковая, д 7, кв 18",46.31,Пономарева Анна Геннадьевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ХОХЛАНД РУССЛАНД,Поставщик молочных продуктов,"ООО ""ХОХЛАНД РУССЛАНД""",5040048921.0,504001001.0,1025005117631.0,ACTIVE,"140126, Московская обл, г Раменское, поселок Раменской агрохимстанции (РАОС), д 16",10.51.3,Прохоров Алексей Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ПЕТМОЛ,Поставщик молочных продуктов,"ООО ""ТОРГОВЛЯ ОТ ""ПЕТМОЛА"" ОПТ""",7816112495.0,781001001.0,1027808007897.0,ACTIVE,"196240, г Санкт-Петербург, Московский р-н, 4-й Предпортовый проезд, д 5 литера л",46.33.1,Муратов Виталий Павлович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ПЕПСИАМЕРИКАС,Поставщик молочных продуктов,,,,,,,,,,0,False,False,Нужна ручная проверка
ООО ОРИМИ,Поставщик чая,"ООО ""ОРИМИ""",4703044256.0,470301001.0,1024700564217.0,ACTIVE,"188682, Ленинградская обл, Всеволожский р-н, гп имени Свердлова, мкр 1-й, д 15/4",10.83,Соколов Михаил Дмитриевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО УНИЛЕВЕР РУСЬ,Поставщик чая,,,,,,,,,,0,False,False,Нужна ручная проверка
ООО МАТЧА РУ,Поставщик матча,,,,,,,,,,0,False,False,Нужна ручная проверка
ООО АЙС ТРЕЙД,Поставщик льда,"ООО ""АЙС ТРЕЙД""",7722482500.0,772201001.0,1197746714989.0,ACTIVE,"109316, г Москва, Нижегородский р-н, Остаповский проезд, д 5 стр 16, офис 203",46.38.1,Гурко Сергей Валентинович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ИНТЕРАГРО,Поставщик фруктовых пюре,"ООО ""ИНТЕРАГРО""",542014807.0,54201001.0,1020502002070.0,ACTIVE,"368601, Респ Дагестан, г Дербент, ул Канделаки, д 40",46.73,Герейбегов Насир Джехферович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО МЕТРО КЭШ ЭНД КЕРРИ,Поставщик продуктов,"ООО ""МЕТРО КЭШ ЭНД КЕРРИ""",7704218694.0,774301001.0,1027700272148.0,ACTIVE,"125445, г Москва, Левобережный р-н, Ленинградское шоссе, д 71Г",46.38,Толай Йоханнес Мария,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО АШАН,Поставщик продуктов,"ООО ""АШАН""",7703270067.0,502901001.0,1027739329408.0,ACTIVE,"141031, Московская обл, г Мытищи, Осташковское шоссе, д 1",47.19,Балабай Айсылу Ришатовна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ЛЕНТА,Поставщик продуктов,"ООО ""ЛЕНТА""",7814148471.0,781401001.0,1037832048605.0,ACTIVE,"197374, г Санкт-Петербург, Приморский р-н, ул Савушкина, д 112 литера б",47.11,Сорокин Владимир Леонидович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО КОМУС,Поставщик упаковки и расходников,"ООО ""КОМУС""",7721793895.0,772201001.0,1137746399801.0,ACTIVE,"111250, г Москва, р-н Лефортово, проезд Завода Серп и Молот, д 10, помещ 41Н/9",46.90,Бесфамильный Пётр Олегович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО СИМА-ЛЕНД,Поставщик упаковки и расходников,"ООО ТД ""СИМА-ЛЕНД""",6679104850.0,667901001.0,1176658004929.0,ACTIVE,"620010, Свердловская обл, г Екатеринбург, Чкаловский р-н, ул Черняховского, стр 86, офис 44",46.47,Обоскалов Константин Владиславович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ГЕОПАК,Поставщик упаковки,"ООО ""ГЕОПАК""",5023005950.0,502301001.0,1025004906134.0,ACTIVE,"141292, Московская обл, г Пушкино, г Красноармейск, Муромцевское шоссе, д 1 стр 3",17.21,Крейтор Александр Андреевич,ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ВАЙЛДБЕРРИЗ,Marketplace поставщик,"ООО ""ВАЙЛДБЕРРИЗ""",7721546864.0,507401001.0,1067746062449.0,ACTIVE,"142181, Московская обл, г Подольск, тер Индустриальный парк Коледино (д Коледино), д 6 стр 1",47.91,Ким Татьяна Владимировна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ИНТЕРНЕТ РЕШЕНИЯ,Marketplace поставщик,"ООО ""ИНТЕРНЕТ РЕШЕНИЯ""",7704217370.0,770301001.0,1027739244741.0,ACTIVE,"123112, г Москва, Пресненский р-н, Пресненская наб, д 10, помещ I, ком 6",47.91,Окмянская Ольга Юрьевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
ООО ЭВОТОР,Поставщик кассового оборудования,"ООО ""ЭВОТОР""",9715225506.0,504701001.0,5157746008107.0,ACTIVE,"141402, Московская обл, г Химки, ул Репина, д 2/27, помещ 12",26.20.1,Юрьев Юрий Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,2,True,True,Можно рассматривать
