ingredient_key,item,category,amount_per_drink,amount_unit,comment,supplier_name,product_name,pack_amount,pack_unit,pack_price_rub,pack_amount_base,pack_base_unit,amount_per_drink_base,recipe_base_unit,unit_price_rub,cost_per_drink_rub,drinks_per_pack,drink_name
tea_black,Чёрный чай,Чай,8.0,g,Базовая чайная основа для классического бабл-ти,ShopBubbleTea,"Чай Чёрный 0,5 кг",500,g,650,500,g,8.0,g,1.3,10.4,62.5,Тайгер Боба (классика)
milk,Молоко 3.2%,Молочная основа,120.0,ml,Молочная часть для молочного бабл-ти,Price.ru,ЭкоНива молоко ультрапастеризованное 3.2% 1 л,1000,ml,119,1000,ml,120.0,ml,0.119,14.28,8.333333333333334,Тайгер Боба (классика)
tapioca,Тапиока (боба),Топпинг,55.0,g,Порция вареных шариков тапиоки,ShopBubbleTea,Тапиока Чёрная Классическая 3 кг,3000,g,1500,3000,g,55.0,g,0.5,27.5,54.54545454545455,Тайгер Боба (классика)
syrup_brown_sugar,Сироп коричневого сахара,Сироп,25.0,ml,Тайгер-сахарный вариант бабл-ти,KiFood,"Сироп Коричневый сахар 2,5кг",2500,ml,1200,2500,ml,25.0,ml,0.48,12.0,100.0,Тайгер Боба (классика)
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,Тайгер Боба (классика)
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Тайгер Боба (классика)
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Тайгер Боба (классика)
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,Тайгер Боба (классика)
matcha,Матча,Чай,5.0,g,Порошок японского зелёного чая; используется в матча-латте,KiFood,Порошок Матча 454г,454,g,2900,454,g,5.0,g,6.387665198237886,31.93832599118943,90.8,Матча Латте с Тапиокой
oat_milk,Овсяное молоко,Молочная основа,120.0,ml,Растительная альтернатива молоку,Market,Овсяное молоко Oatly 1л,1000,ml,189,1000,ml,120.0,ml,0.189,22.68,8.333333333333334,Матча Латте с Тапиокой
tapioca,Тапиока (боба),Топпинг,55.0,g,Порция вареных шариков тапиоки,ShopBubbleTea,Тапиока Чёрная Классическая 3 кг,3000,g,1500,3000,g,55.0,g,0.5,27.5,54.54545454545455,Матча Латте с Тапиокой
syrup_vanilla,Ванильный сироп,Сироп,20.0,ml,Классический подсластитель,ShopBubbleTea,Сироп Ваниль 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,Матча Латте с Тапиокой
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,Матча Латте с Тапиокой
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Матча Латте с Тапиокой
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Матча Латте с Тапиокой
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,Матча Латте с Тапиокой
tea_black,Чёрный чай,Чай,8.0,g,Базовая чайная основа для классического бабл-ти,ShopBubbleTea,"Чай Чёрный 0,5 кг",500,g,650,500,g,8.0,g,1.3,10.4,62.5,Клубничный Фруктовый
tapioca,Тапиока (боба),Топпинг,55.0,g,Порция вареных шариков тапиоки,ShopBubbleTea,Тапиока Чёрная Классическая 3 кг,3000,g,1500,3000,g,55.0,g,0.5,27.5,54.54545454545455,Клубничный Фруктовый
strawberry_puree,Пюре клубники,Фруктовая база,40.0,ml,Фреш-пюре или замороженное; самый популярный вкус PIMS,FoodLine,Пюре клубники замороженное 1кг,1000,ml,480,1000,ml,40.0,ml,0.48,19.2,25.0,Клубничный Фруктовый
syrup_lychee,Сироп личи,Сироп,20.0,ml,Популярный азиатский вкус,ShopBubbleTea,Сироп Личи 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,Клубничный Фруктовый
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,Клубничный Фруктовый
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Клубничный Фруктовый
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Клубничный Фруктовый
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,Клубничный Фруктовый
tea_jasmine,Жасминовый чай,Чай,8.0,g,Ароматная основа; популярна в молочных вариантах,KiFood,Чай Жасминовый 250г,250,g,620,250,g,8.0,g,2.48,19.84,31.25,Кокосовый Крем Чай
coconut_milk,Кокосовое молоко,Молочная основа,80.0,ml,Используется в тропических вариантах и кокосовом креме,Market,Кокосовое молоко 400мл,400,ml,130,400,ml,80.0,ml,0.325,26.0,5.0,Кокосовый Крем Чай
cream_cheese,Творожный сыр,Крем,30.0,g,Основа фирменного крема PIMS (солти и кокосового),Metro,Творожный сыр Hochland Almette 500г,500,g,380,500,g,30.0,g,0.76,22.8,16.666666666666668,Кокосовый Крем Чай
cream_33,Сливки 33%,Крем,40.0,ml,Взбиваются с творожным сыром для кремовой шапки,Metro,Сливки ультрапастеризованные 33% 1л,1000,ml,230,1000,ml,40.0,ml,0.23,9.200000000000001,25.0,Кокосовый Крем Чай
coconut_cream,Кокосовые сливки,Крем,30.0,ml,Для кокосового варианта крема,Market,Кокосовые сливки 400мл,400,ml,180,400,ml,30.0,ml,0.45,13.5,13.333333333333334,Кокосовый Крем Чай
sugar_powder,Сахарная пудра,Крем,10.0,g,Подсластитель для крема,Metro,Сахарная пудра 1кг,1000,g,120,1000,g,10.0,g,0.12,1.2,100.0,Кокосовый Крем Чай
sea_salt,Морская соль,Крем,0.5,g,Щепотка в солти-крем — фирменная нота PIMS,Metro,Морская соль мелкая 1кг,1000,g,95,1000,g,0.5,g,0.095,0.0475,2000.0,Кокосовый Крем Чай
coconut_jelly,Кокосовое желе,Топпинг,40.0,g,Нарезанное кубиками; популярный топпинг PIMS,KiFood,"Кокосовое желе 2,8кг",2800,g,680,2800,g,40.0,g,0.24285714285714285,9.714285714285714,70.0,Кокосовый Крем Чай
syrup_vanilla,Ванильный сироп,Сироп,20.0,ml,Классический подсластитель,ShopBubbleTea,Сироп Ваниль 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,Кокосовый Крем Чай
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,Кокосовый Крем Чай
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Кокосовый Крем Чай
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Кокосовый Крем Чай
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,Кокосовый Крем Чай
tea_gaba,Чай Габа,Чай,8.0,g,Ферментированный чай — фирменная основа PIMS; богат ГАМК,KiFood,Чай Габа Улун 250г,250,g,890,250,g,8.0,g,3.56,28.48,31.25,Габа Улун с Пудингом
milk,Молоко 3.2%,Молочная основа,120.0,ml,Молочная часть для молочного бабл-ти,Price.ru,ЭкоНива молоко ультрапастеризованное 3.2% 1 л,1000,ml,119,1000,ml,120.0,ml,0.119,14.28,8.333333333333334,Габа Улун с Пудингом
pudding,Пудинг,Топпинг,45.0,g,Яичный или молочный пудинг-топпинг,KiFood,Сухая смесь для пудинга 1кг,1000,g,590,1000,g,45.0,g,0.59,26.549999999999997,22.22222222222222,Габа Улун с Пудингом
syrup_vanilla,Ванильный сироп,Сироп,20.0,ml,Классический подсластитель,ShopBubbleTea,Сироп Ваниль 1л,1000,ml,650,1000,ml,20.0,ml,0.65,13.0,50.0,Габа Улун с Пудингом
ice,Лёд,Прочее,150.0,g,Дроблёный или кубиком; обязательный компонент холодного напитка,Metro,Лёд пищевой 5кг,5000,g,250,5000,g,150.0,g,0.05,7.5,33.333333333333336,Габа Улун с Пудингом
cup,Стакан 500 мл,Упаковка,1.0,pcs,Одноразовый ПЭТ/PP стакан,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Габа Улун с Пудингом
lid,Крышка купольная,Упаковка,1.0,pcs,Купольная крышка под трубочку,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,1,pcs,1.0,pcs,5.0,5.0,1.0,Габа Улун с Пудингом
straw,Трубочка широкая,Упаковка,1.0,pcs,Широкая трубочка для тапиоки (10–12 мм),ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,1,pcs,1.0,pcs,3.0,3.0,1.0,Габа Улун с Пудингом
