ingredient_key,item,category,amount_per_drink,amount_unit,comment,supplier_name,product_name,pack_amount,pack_unit,pack_price_rub,pack_amount_base,pack_base_unit,amount_per_drink_base,recipe_base_unit,unit_price_rub,cost_per_drink_rub,drinks_per_pack,monthly_amount,packs_needed,monthly_cost_rub,packs_to_buy,monthly_purchase_cost_rub
tea_gaba,Чай Габа,Чай,8.0,g,Ферментированный чай — фирменная основа PIMS; богат ГАМК,KiFood,Чай Габа Улун 250г,250,g,890,250,g,8.0,g,3.56,28.48,31.25,28800.0,115.2,102528.0,116,103240
tea_oolong,Улун,Чай,8.0,g,Альтернативная чайная основа; используется в классических PIMS,KiFood,Улун молочный 250г,250,g,750,250,g,8.0,g,3.0,24.0,31.25,28800.0,115.2,86400.0,116,87000
tea_black,Чёрный чай,Чай,8.0,g,Базовая чайная основа для классического бабл-ти,ShopBubbleTea,"Чай Чёрный 0,5 кг",500,g,650,500,g,8.0,g,1.3,10.4,62.5,28800.0,57.6,37440.0,58,37700
tea_jasmine,Жасминовый чай,Чай,8.0,g,Ароматная основа; популярна в молочных вариантах,KiFood,Чай Жасминовый 250г,250,g,620,250,g,8.0,g,2.48,19.84,31.25,28800.0,115.2,71424.0,116,71920
matcha,Матча,Чай,5.0,g,Порошок японского зелёного чая; используется в матча-латте,KiFood,Порошок Матча 454г,454,g,2900,454,g,5.0,g,6.387665198237886,31.93832599118943,90.8,18000.0,39.647577092511014,114977.97356828194,40,116000
milk,Молоко 3.2%,Молочная основа,120.0,ml,Молочная часть для молочного бабл-ти,Price.ru,ЭкоНива молоко ультрапастеризованное 3.2% 1 л,1000,ml,119,1000,ml,120.0,ml,0.119,14.28,8.333333333333334,432000.0,432.0,51408.0,432,51408
oat_milk,Овсяное молоко,Молочная основа,120.0,ml,Растительная альтернатива молоку,Market,Овсяное молоко Oatly 1л,1000,ml,189,1000,ml,120.0,ml,0.189,22.68,8.333333333333334,432000.0,432.0,81648.0,432,81648
coconut_milk,Кокосовое молоко,Молочная основа,80.0,ml,Используется в тропических вариантах и кокосовом креме,Market,Кокосовое молоко 400мл,400,ml,130,400,ml,80.0,ml,0.325,26.0,5.0,288000.0,720.0,93600.0,720,93600
cream_cheese,Творожный сыр,Крем,30.0,g,Основа фирменного крема PIMS (солти и кокосового),Metro,Творожный сыр Hochland Almette 500г,500,g,380,500,g,30.0,g,0.76,22.8,16.666666666666668,108000.0,216.0,82080.0,216,82080
cream_33,Сливки 33%,Крем,40.0,ml,Взбиваются с творожным сыром для кремовой шапки,Metro,Сливки ультрапастеризованные 33% 1л,1000,ml,230,1000,ml,40.0,ml,0.23,9.200000000000001,25.0,144000.0,144.0,33120.0,144,33120
coconut_cream,Кокосовые сливки,Крем,30.0,ml,Для кокосового варианта крема,Market,Кокосовые сливки 400мл,400,ml,180,400,ml,30.0,ml,0.45,13.5,13.333333333333334,108000.0,270.0,48600.0,270,48600
sugar_powder,Сахарная пудра,Крем,10.0,g,Подсластитель для крема,Metro,Сахарная пудра 1кг,1000,g,120,1000,g,10.0,g,0.12,1.2,100.0,36000.0,36.0,4320.0,36,4320
sea_salt,Морская соль,Крем,0.5,g,Щепотка в солти-крем — фирменная нота PIMS,Metro,Морская соль мелкая 1кг,1000,g,95,1000,g,0.5,g,0.095,0.0475,2000.0,1800.0,1.8,171.0,2,190
tapioca,Тапиока (боба),Топпинг,55.0,g,Порция вареных шариков тапиоки,ShopBubbleTea,Тапиока Чёрная Классическая 3 кг,3000,g,1500,3000,g,55.0,g,0.5,27.5,54.54545454545455,198000.0,66.0,99000.0,66,99000
coconut_jelly,Кокосовое желе,Топпинг,40.0,g,Нарезанное кубиками; популярный топпинг PIMS,KiFood,"Кокосовое желе 2,8кг",2800,g,680,2800,g,40.0,g,0.24285714285714285,9.714285714285714,70.0,144000.0,51.42857142857143,34971.42857142857,52,35360
aloe_jelly,Желе алоэ,Топпинг,40.0,g,Освежающий топпинг; часто в сочетании с колд-брю,KiFood,"Желе Алоэ 2,8кг",2800,g,720,2800,g,40.0,g,0.2571428571428571,10.285714285714285,70.0,144000.0,51.42857142857143,37028.57142857143,52,37440
pudding,Пудинг,Топпинг,45.0,g,Яичный или молочный пудинг-топпинг,KiFood,Сухая смесь для пудинга 1кг,1000,g,590,1000,g,45.0,g,0.59,26.549999999999997,22.22222222222222,162000.0,162.0,95580.0,162,95580
