supplier_name,category,products_count
Bosmos,Джус-боллы,2
Bosmos,Желе,2
Bosmos,Сиропы,2
Bosmos,Тапиока,2
BubbleHome,Джус-боллы,2
BubbleHome,Желе,2
BubbleHome,Сиропы,1
BubbleHome,Тапиока,1
BubbleHome,Чай,1
BubbleJoy,Джус-боллы,1
BubbleJoy,Желе,1
BubbleJoy,Сиропы,1
BubbleJoy,Тапиока,1
BubbleJoy,Упаковка,1
KiFood,Сиропы,5
KiFood,Желе,3
KiFood,Сухие смеси,3
KiFood,Чай,1
ShopBubbleTea,Сиропы,75
ShopBubbleTea,Джус-боллы,30
ShopBubbleTea,Тапиока,28
ShopBubbleTea,Желе,23
ShopBubbleTea,Сухие смеси,22
ShopBubbleTea,Упаковка,17
ShopBubbleTea,Чай,15
WonderfulFoods,Сиропы,13
WonderfulFoods,Тапиока,13
