supplier_name,products_count,min_unit_price,median_unit_price,max_unit_price,price_source,category,serving_amount,serving_unit,cost_per_serving_min,cost_per_serving_median
CzSeattle,12,0.433,0.43525,0.4375,parsed,Джус-боллы,40,g,17.32,17.41
BubbleStore,1,0.5294117647058824,0.5294117647058824,0.5294117647058824,parsed,Джус-боллы,40,g,21.176470588235293,21.176470588235293
KiFood,2,0.24285714285714285,0.25,0.2571428571428571,manual,Желе,40,g,9.714285714285714,10.0
ShopBubbleTea,9,0.375,0.375,0.375,parsed,Желе,40,g,15.0,15.0
CzSeattle,1,0.7672,0.7672,0.7672,parsed,Желе,40,g,30.688,30.688
Price.ru,1,0.119,0.119,0.119,manual,Молочная основа,100,ml,11.899999999999999,11.899999999999999
Market,2,0.189,0.257,0.325,manual,Молочная основа,100,ml,18.9,25.7
KiFood,1,0.59,0.59,0.59,manual,Пудинг,45,g,26.549999999999997,26.549999999999997
ShopBubbleTea,29,0.256,0.256,0.65,manual+parsed,Сиропы,22,ml,5.632,5.632
KiFood,1,0.48,0.48,0.48,manual,Сиропы,22,ml,10.559999999999999,10.559999999999999
CzSeattle,5,0.569,0.965,1.149,parsed,Сухие смеси,15,g,8.535,14.475
BubbleStore,2,1.9,1.9,1.9,parsed,Сухие смеси,15,g,28.5,28.5
WonderfulFoods,2,0.36333333333333334,0.4066666666666667,0.45,parsed,Тапиока,55,g,19.983333333333334,22.366666666666667
ShopBubbleTea,26,0.328,0.5,1.6666666666666667,manual+parsed,Тапиока,55,g,18.04,27.5
Market,1,1.8,1.8,1.8,manual,Упаковка,1,pcs,1.8,1.8
ShopBubbleTea,3,3.0,5.0,5.0,manual,Упаковка,1,pcs,3.0,5.0
FoodLine,3,0.48,0.52,0.65,manual,Фруктовые пюре,40,ml,19.2,20.8
CzSeattle,1,0.7672,0.7672,0.7672,parsed,Чай,8,g,6.1376,6.1376
ShopBubbleTea,14,0.48,1.3,18.8,manual+parsed,Чай,8,g,3.84,10.4
KiFood,4,2.48,3.2800000000000002,6.387665198237886,manual,Чай,8,g,19.84,26.240000000000002
