ingredient_key,item,category,supplier_name,product_name,pack_amount,pack_unit,pack_price_rub,unit_price_rub,amount_per_drink,cost_per_drink_rub
aloe_jelly,Желе алоэ,Топпинг,KiFood,"Желе Алоэ 2,8кг",2800,g,720,0.2571428571428571,40.0,10.285714285714285
coconut_cream,Кокосовые сливки,Крем,Market,Кокосовые сливки 400мл,400,ml,180,0.45,30.0,13.5
coconut_jelly,Кокосовое желе,Топпинг,KiFood,"Кокосовое желе 2,8кг",2800,g,680,0.24285714285714285,40.0,9.714285714285714
coconut_milk,Кокосовое молоко,Молочная основа,Market,Кокосовое молоко 400мл,400,ml,130,0.325,80.0,26.0
cream_33,Сливки 33%,Крем,Metro,Сливки ультрапастеризованные 33% 1л,1000,ml,230,0.23,40.0,9.200000000000001
cream_cheese,Творожный сыр,Крем,Metro,Творожный сыр Hochland Almette 500г,500,g,380,0.76,30.0,22.8
cup,Стакан 500 мл,Упаковка,ShopBubbleTea,Стакан мягкий пластиковый прозрачный без рисунка 500 мл,1,pcs,5,5.0,1.0,5.0
ice,Лёд,Прочее,Metro,Лёд пищевой 5кг,5000,g,250,0.05,150.0,7.5
lemon_juice,Лимонный сок,Фруктовая база,Metro,Лимонный сок 1л,1000,ml,180,0.18,15.0,2.6999999999999997
lid,Крышка купольная,Упаковка,ShopBubbleTea,Купольная крышка под плотные стаканы 500 мл. и 650 мл.,1,pcs,5,5.0,1.0,5.0
mango_puree,Пюре манго,Фруктовая база,FoodLine,Пюре манго замороженное 1кг,1000,ml,520,0.52,40.0,20.8
matcha,Матча,Чай,KiFood,Порошок Матча 454г,454,g,2900,6.387665198237886,5.0,31.93832599118943
milk,Молоко 3.2%,Молочная основа,Price.ru,ЭкоНива молоко ультрапастеризованное 3.2% 1 л,1000,ml,119,0.119,120.0,14.28
oat_milk,Овсяное молоко,Молочная основа,Market,Овсяное молоко Oatly 1л,1000,ml,189,0.189,120.0,22.68
passion_fruit,Пюре маракуйи,Фруктовая база,FoodLine,Пюре маракуйи замороженное 1кг,1000,ml,650,0.65,30.0,19.5
pudding,Пудинг,Топпинг,KiFood,Сухая смесь для пудинга 1кг,1000,g,590,0.59,45.0,26.549999999999997
sea_salt,Морская соль,Крем,Metro,Морская соль мелкая 1кг,1000,g,95,0.095,0.5,0.0475
seal_film,Запайочная плёнка,Упаковка,Market,Запайочная плёнка для стаканов,1000,pcs,1800,1.8,1.0,1.8
straw,Трубочка широкая,Упаковка,ShopBubbleTea,Трубочка чёрная 210x11 мм. с заостренным окончанием,1,pcs,3,3.0,1.0,3.0
strawberry_puree,Пюре клубники,Фруктовая база,FoodLine,Пюре клубники замороженное 1кг,1000,ml,480,0.48,40.0,19.2
sugar_powder,Сахарная пудра,Крем,Metro,Сахарная пудра 1кг,1000,g,120,0.12,10.0,1.2
syrup_brown_sugar,Сироп коричневого сахара,Сироп,KiFood,"Сироп Коричневый сахар 2,5кг",2500,ml,1200,0.48,25.0,12.0
syrup_lychee,Сироп личи,Сироп,ShopBubbleTea,Сироп Личи 1л,1000,ml,650,0.65,20.0,13.0
syrup_vanilla,Ванильный сироп,Сироп,ShopBubbleTea,Сироп Ваниль 1л,1000,ml,650,0.65,20.0,13.0
tapioca,Тапиока (боба),Топпинг,ShopBubbleTea,Тапиока Чёрная Классическая 3 кг,3000,g,1500,0.5,55.0,27.5
tea_black,Чёрный чай,Чай,ShopBubbleTea,"Чай Чёрный 0,5 кг",500,g,650,1.3,8.0,10.4
tea_gaba,Чай Габа,Чай,KiFood,Чай Габа Улун 250г,250,g,890,3.56,8.0,28.48
tea_jasmine,Жасминовый чай,Чай,KiFood,Чай Жасминовый 250г,250,g,620,2.48,8.0,19.84
tea_oolong,Улун,Чай,KiFood,Улун молочный 250г,250,g,750,3.0,8.0,24.0
