query,role,notes
ООО РБК КОММЕРЧЕСКАЯ ЛОГИСТИКА,Поставщик ингредиентов,"Юрлицо KiFood; тапиока и азиатские ингредиенты; ОКВЭД 46.39 — опт продуктов ✓"
ООО ФУДЛАЙН,Поставщик фруктовых пюре,"Оптовые пюре и концентраты: клубника, манго, маракуйя; ОКВЭД 46.31 ✓"
ООО ХОХЛАНД РУССЛАНД,Поставщик молочных продуктов,"Творожный сыр Almette/Hochland — основа крема PIMS; ОКВЭД 10.51.3 ✓"
ООО ПЕТМОЛ,Поставщик молочных продуктов,"Сливки 33% — молочная основа крема; ОКВЭД 46.33.1 ✓"
ООО ПЕПСИАМЕРИКАС,Поставщик молочных продуктов,"Попытка найти ВБД через дочернюю структуру; Вимм-Билль-Данн — молоко и сливки"
ООО ОРИМИ,Поставщик чая,"Крупнейший российский чайный холдинг (Greenfield, Tess); Габа и улун в ассортименте"
ООО УНИЛЕВЕР РУСЬ,Поставщик чая,"Lipton, Brooke Bond — массовые чайные бренды для бэк-офиса"
ООО МАТЧА РУ,Поставщик матча,"Специализированный импортёр японского матча-порошка"
ООО АЙС ТРЕЙД,Поставщик льда,"Промышленный лёд для общепита; ОКВЭД 46.38.1 ✓"
ООО ИНТЕРАГРО,Поставщик фруктовых пюре,"Замороженные ягодные и фруктовые пюре для HoReCa"
ООО МЕТРО КЭШ ЭНД КЕРРИ,Поставщик продуктов,"Резервный B2B-поставщик молока, сахара, расходных товаров; ОКВЭД 46.38 ✓"
ООО АШАН,Поставщик продуктов,"Резервный поставщик молока, сахара и сопутствующих продуктов ✓"
ООО ЛЕНТА,Поставщик продуктов,"Резервный поставщик продуктов и расходников ✓"
ООО КОМУС,Поставщик упаковки и расходников,"Одноразовая посуда, салфетки, хозяйственные расходники ✓"
ООО СИМА-ЛЕНД,Поставщик упаковки и расходников,"Упаковка, одноразовая посуда, хозяйственные товары ✓"
ООО ГЕОПАК,Поставщик упаковки,"ПЭТ-стаканы и купольные крышки для бабл-ти; ОКВЭД 17.21 ✓"
ООО ВАЙЛДБЕРРИЗ,Marketplace поставщик,"Резервный канал закупки расходников и оборудования ✓"
ООО ИНТЕРНЕТ РЕШЕНИЯ,Marketplace поставщик,"Ozon как резервный канал закупки расходников и оборудования ✓"
ООО ЭВОТОР,Поставщик кассового оборудования,"Кассовое оборудование для кафе ✓"
ООО АТОЛ,Поставщик кассового оборудования,"Кассовое оборудование и фискальные решения ✓"
ООО ЯНДЕКС ЕДА,Партнер доставки,"Потенциальный партнер для доставки ✓"
ООО ДЕЛИВЕРИ КЛАБ,Партнер доставки,"Потенциальный партнер для доставки ✓"
