query,role,name,inn,kpp,ogrn,status,address,okved,management_name,management_post
ООО РБК КОММЕРЧЕСКАЯ ЛОГИСТИКА,Поставщик ингредиентов,ООО РБК КОММЕРЧЕСКАЯ ЛОГИСТИКА,7743428769,774301001,1237700686497,ACTIVE,"125493, г Москва, Головинский р-н, ул Смольная, д 2, помещ 2/9",46.39,Люй Цзин,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ФУДЛАЙН,Поставщик фруктовых пюре,"ООО ""ФУД ЛАЙН""",5024244774,502401001,1245000077630,ACTIVE,"143442, Московская обл, г Красногорск, пгт Сабурово, ул Парковая, д 7, кв 18",46.31,Пономарева Анна Геннадьевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ХОХЛАНД РУССЛАНД,Поставщик молочных продуктов,"ООО ""ХОХЛАНД РУССЛАНД""",5040048921,504001001,1025005117631,ACTIVE,"140126, Московская обл, г Раменское, поселок Раменской агрохимстанции (РАОС), д 16",10.51.3,Прохоров Алексей Владимирович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ПЕТМОЛ,Поставщик молочных продуктов,"ООО ""ТОРГОВЛЯ ОТ ""ПЕТМОЛА"" ОПТ""",7816112495,781001001,1027808007897,ACTIVE,"196240, г Санкт-Петербург, Московский р-н, 4-й Предпортовый проезд, д 5 литера л",46.33.1,Муратов Виталий Павлович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ПЕПСИАМЕРИКАС,Поставщик молочных продуктов,,,,,,,,,
ООО ОРИМИ,Поставщик чая,"ООО ""ОРИМИ""",4703044256,470301001,1024700564217,ACTIVE,"188682, Ленинградская обл, Всеволожский р-н, гп имени Свердлова, мкр 1-й, д 15/4",10.83,Соколов Михаил Дмитриевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО УНИЛЕВЕР РУСЬ,Поставщик чая,,,,,,,,,
ООО МАТЧА РУ,Поставщик матча,,,,,,,,,
ООО АЙС ТРЕЙД,Поставщик льда,"ООО ""АЙС ТРЕЙД""",7722482500,772201001,1197746714989,ACTIVE,"109316, г Москва, Нижегородский р-н, Остаповский проезд, д 5 стр 16, офис 203",46.38.1,Гурко Сергей Валентинович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ИНТЕРАГРО,Поставщик фруктовых пюре,"ООО ""ИНТЕРАГРО""",0542014807,054201001,1020502002070,ACTIVE,"368601, Респ Дагестан, г Дербент, ул Канделаки, д 40",46.73,Герейбегов Насир Джехферович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО МЕТРО КЭШ ЭНД КЕРРИ,Поставщик продуктов,"ООО ""МЕТРО КЭШ ЭНД КЕРРИ""",7704218694,774301001,1027700272148,ACTIVE,"125445, г Москва, Левобережный р-н, Ленинградское шоссе, д 71Г",46.38,Толай Йоханнес Мария,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО АШАН,Поставщик продуктов,"ООО ""АШАН""",7703270067,502901001,1027739329408,ACTIVE,"141031, Московская обл, г Мытищи, Осташковское шоссе, д 1",47.19,Балабай Айсылу Ришатовна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ЛЕНТА,Поставщик продуктов,"ООО ""ЛЕНТА""",7814148471,781401001,1037832048605,ACTIVE,"197374, г Санкт-Петербург, Приморский р-н, ул Савушкина, д 112 литера б",47.11,Сорокин Владимир Леонидович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО КОМУС,Поставщик упаковки и расходников,"ООО ""КОМУС""",7721793895,772201001,1137746399801,ACTIVE,"111250, г Москва, р-н Лефортово, проезд Завода Серп и Молот, д 10, помещ 41Н/9",46.90,Бесфамильный Пётр Олегович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО СИМА-ЛЕНД,Поставщик упаковки и расходников,"ООО ТД ""СИМА-ЛЕНД""",6679104850,667901001,1176658004929,ACTIVE,"620010, Свердловская обл, г Екатеринбург, Чкаловский р-н, ул Черняховского, стр 86, офис 44",46.47,Обоскалов Константин Владиславович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
ООО ГЕОПАК,Поставщик упаковки,"ООО ""ГЕОПАК""",5023005950,502301001,1025004906134,ACTIVE,"141292, Московская обл, г Пушкино, г Красноармейск, Муромцевское шоссе, д 1 стр 3",17.21,Крейтор Александр Андреевич,ДИРЕКТОР
