ingredient_key,supplier_name,product_name,source_url,pack_amount,pack_unit,pack_price_rub,source_type,notes
tea_black,ShopBubbleTea,"Чай Чёрный 0,5 кг",https://shopbubbletea.ru/index.php/component/k2/itemlist/category/27-tapioka-bubble-tea-babl-tea,500,g,650,parsed_catalog,"Чай чёрный листовой 500г"
tea_gaba,KiFood,"Чай Габа Улун 250г",https://kifood.ru/katalog/chai,250,g,890,market_price,"Ориентировочная цена чая Габа у специализированных поставщиков"
tea_oolong,KiFood,"Улун молочный 250г",https://kifood.ru/katalog/chai,250,g,750,market_price,"Ориентировочная цена улуна у специализированных поставщиков"
tea_jasmine,KiFood,"Чай Жасминовый 250г",https://kifood.ru/katalog/chai,250,g,620,market_price,"Жасминовый чай для молочного бабл-ти"
matcha,KiFood,"Порошок Матча 454г",https://kifood.ru/katalog/chai/poroshok-matcha-454-g,454,g,2900,parsed_catalog,"Матча-порошок премиум 454г — KiFood"
milk,Price.ru,"ЭкоНива молоко ультрапастеризованное 3.2% 1 л",https://price.ru/moloko-i-slivki/ekoniva-moloko-ultrapasterizovannoe-3.2-1l/,1000,ml,119,market_price,"Рыночная цена молока в интернет-магазинах Москвы"
oat_milk,Market,"Овсяное молоко Oatly 1л",https://market.yandex.ru,1000,ml,189,market_price,"Ориентировочная цена овсяного молока в ретейле"
coconut_milk,Market,"Кокосовое молоко 400мл",https://market.yandex.ru,400,ml,130,market_price,"Кокосовое молоко в банке (средняя цена)"
cream_cheese,Metro,"Творожный сыр Hochland Almette 500г",https://metro-cc.ru,500,g,380,market_price,"Творожный сыр — основа крема PIMS; цена в МЕТРО"
cream_33,Metro,"Сливки ультрапастеризованные 33% 1л",https://metro-cc.ru,1000,ml,230,market_price,"Сливки для взбивания 33%, 1л — МЕТРО"
coconut_cream,Market,"Кокосовые сливки 400мл",https://market.yandex.ru,400,ml,180,market_price,"Кокосовые сливки для крема"
sugar_powder,Metro,"Сахарная пудра 1кг",https://metro-cc.ru,1000,g,120,market_price,"Сахарная пудра для крема"
sea_salt,Metro,"Морская соль мелкая 1кг",https://metro-cc.ru,1000,g,95,market_price,"Морская соль для солти-крема"
tapioca,ShopBubbleTea,"Тапиока Чёрная Классическая 3 кг",https://www.shopbubbletea.ru/index.php/prajs/item/142-bubble-tea-granuly-tapioka,3000,g,1500,parsed_product,"Цена карточки товара"
coconut_jelly,KiFood,"Кокосовое желе 2,8кг",https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-persika-2-8kg-2,2800,g,680,parsed_catalog,"Кокосовое желе — топпинг"
aloe_jelly,KiFood,"Желе Алоэ 2,8кг",https://kifood.ru/katalog/toppingi,2800,g,720,market_price,"Желе из алоэ — топпинг"
pudding,KiFood,"Сухая смесь для пудинга 1кг",https://kifood.ru/katalog/sukhie-smesi/sukhaya-smes-dlya-pudinga-so-vkusom-moloka-1kg,1000,g,590,parsed_catalog,"Сухая смесь для пудинга; выход ~4кг готового пудинга"
strawberry_puree,FoodLine,"Пюре клубники замороженное 1кг",https://foodline.ru,1000,ml,480,market_price,"Замороженное пюре клубники для бабл-ти (1г≈1мл)"
mango_puree,FoodLine,"Пюре манго замороженное 1кг",https://foodline.ru,1000,ml,520,market_price,"Замороженное пюре манго (1г≈1мл)"
passion_fruit,FoodLine,"Пюре маракуйи замороженное 1кг",https://foodline.ru,1000,ml,650,market_price,"Пюре маракуйи — кислый акцент (1г≈1мл)"
lemon_juice,Metro,"Лимонный сок 1л",https://metro-cc.ru,1000,ml,180,market_price,"Концентрированный лимонный сок"
syrup_vanilla,ShopBubbleTea,"Сироп Ваниль 1л",https://shopbubbletea.ru/index.php/component/k2/itemlist/category/24-siropy-dlya-prigotovleniya-bubble-tea-babl-tea,1000,ml,650,parsed_catalog,"Сироп ванильный 1л"
syrup_lychee,ShopBubbleTea,"Сироп Личи 1л",https://shopbubbletea.ru/index.php/component/k2/itemlist/category/24-siropy-dlya-prigotovleniya-bubble-tea-babl-tea,1000,ml,650,parsed_catalog,"Сироп личи 1л"
syrup_brown_sugar,KiFood,"Сироп Коричневый сахар 2,5кг",https://kifood.ru/katalog/siropy,2500,ml,1200,market_price,"Тайгер-сахарный сироп (1г≈1мл)"
ice,Metro,"Лёд пищевой 5кг",https://metro-cc.ru,5000,g,250,market_price,"Пищевой лёд для общепита"
cup,ShopBubbleTea,"Стакан мягкий пластиковый прозрачный без рисунка 500 мл",https://shopbubbletea.ru/index.php/prajs/itemlist/category/101-posuda-i-aksessuary,1,pcs,5,parsed_catalog,"Цена за 1 стакан 500 мл"
lid,ShopBubbleTea,"Купольная крышка под плотные стаканы 500 мл. и 650 мл.",https://www.shopbubbletea.ru/index.php/franshiza/item/669-kupolnaya-kryshka-pod-plotnye-stakany-500-ml-i-650-ml,1,pcs,5,parsed_product,"Цена за 1 крышку"
straw,ShopBubbleTea,"Трубочка чёрная 210x11 мм. с заостренным окончанием",https://shopbubbletea.ru/index.php/prajs/itemlist/category/101-posuda-i-aksessuary,1,pcs,3,parsed_catalog,"Цена за 1 широкую трубочку"
seal_film,Market,"Запайочная плёнка для стаканов",https://market.yandex.ru,1000,pcs,1800,market_price,"Рулон плёнки для термозапайки на 1000 стаканов"
