target_position,vacancy_id,vacancy_name,employer,town,salary_from,salary_to,salary_mid,experience,employment,schedule,published_at,url,source
Помощник бариста,50643829,Бариста,Азбука вкуса,Москва,93600.0,,93600.0,Без опыта,Сменный график работы,Не имеет значения,1779528960,https://www.superjob.ru/vakansii/barista-50643829.html,superjob
Помощник бариста,51759263,Бариста-официант в кафе (Чертановская),Азбука вкуса,Москва,6000.0,,6000.0,Без опыта,Полный рабочий день,Не имеет значения,1779526080,https://www.superjob.ru/vakansii/barista-oficiant-v-kafe-51759263.html,superjob
Помощник бариста,51973942,Бариста,ООО АШАН,Москва,61700.0,81600.0,71650.0,Без опыта,Полный рабочий день,Не имеет значения,1779520243,https://www.superjob.ru/vakansii/barista-51973942.html,superjob
Помощник бариста,51977943,Бариста/бармен-официант в кафе (Раменки),Азбука вкуса,Москва,6000.0,,6000.0,Без опыта,Полный рабочий день,Не имеет значения,1779526680,https://www.superjob.ru/vakansii/barista-51977943.html,superjob
Помощник бариста,51979979,Повар в магазин,"МАГНИТ, Розничная сеть. Магазины продуктов",Москва,74200.0,100100.0,87150.0,Без опыта,Сменный график работы,Не имеет значения,1779515880,https://www.superjob.ru/vakansii/povar-v-magazin-51979979.html,superjob
Помощник бариста,51979980,Повар в магазин,"МАГНИТ, Розничная сеть. Магазины продуктов",Москва,83600.0,106100.0,94850.0,Без опыта,Сменный график работы,Не имеет значения,1779515940,https://www.superjob.ru/vakansii/povar-v-magazin-51979980.html,superjob
Помощник бариста,51906550,Бариста,Перекрёсток,Москва,78600.0,82100.0,80350.0,Не имеет значения,Неполный рабочий день,Не имеет значения,1779517611,https://www.superjob.ru/vakansii/barista-51906550.html,superjob
Помощник бариста,51923246,Бариста,Перекрёсток,Москва,70000.0,80000.0,75000.0,Без опыта,Неполный рабочий день,Не имеет значения,1779518093,https://www.superjob.ru/vakansii/barista-51923246.html,superjob
Помощник бариста,51923353,Бариста,Перекрёсток,Москва,70000.0,75000.0,72500.0,Без опыта,Полный рабочий день,Не имеет значения,1779519125,https://www.superjob.ru/vakansii/barista-51923353.html,superjob
Помощник бариста,51923361,Мобильный бариста,Перекрёсток,Москва,77000.0,79000.0,78000.0,Без опыта,Полный рабочий день,Не имеет значения,1779519180,https://www.superjob.ru/vakansii/mobilnyj-barista-51923361.html,superjob
Помощник бариста,51923367,Бариста,Перекрёсток,Москва,85200.0,89100.0,87150.0,Без опыта,Неполный рабочий день,Не имеет значения,1779519222,https://www.superjob.ru/vakansii/barista-51923367.html,superjob
Помощник бариста,51923369,Бариста,Перекрёсток,Москва,80500.0,84100.0,82300.0,Без опыта,Неполный рабочий день,Не имеет значения,1779519230,https://www.superjob.ru/vakansii/barista-51923369.html,superjob
Помощник бариста,51923576,Мобильный бариста,Перекрёсток,Москва,75000.0,85000.0,80000.0,Без опыта,Полный рабочий день,Не имеет значения,1779521282,https://www.superjob.ru/vakansii/mobilnyj-barista-51923576.html,superjob
Помощник бариста,51931771,Мобильный бариста,Перекрёсток,Москва,80000.0,85000.0,82500.0,Без опыта,Полный рабочий день,Не имеет значения,1779521838,https://www.superjob.ru/vakansii/mobilnyj-barista-51931771.html,superjob
Помощник бариста,51932111,Бариста,Перекрёсток,Москва,81000.0,85000.0,83000.0,Без опыта,Неполный рабочий день,Не имеет значения,1779523526,https://www.superjob.ru/vakansii/barista-51932111.html,superjob
Помощник бариста,51932259,Ночной бариста-пекарь,Перекрёсток,Москва,75000.0,80000.0,77500.0,Без опыта,Полный рабочий день,Не имеет значения,1779524010,https://www.superjob.ru/vakansii/nochnoj-barista-pekar-51932259.html,superjob
Помощник бариста,51932351,Бариста,Перекрёсток,Москва,65000.0,70000.0,67500.0,Без опыта,Неполный рабочий день,Не имеет значения,1779524321,https://www.superjob.ru/vakansii/barista-51932351.html,superjob
Помощник бариста,51932364,Бариста,Перекрёсток,Москва,79100.0,82600.0,80850.0,Без опыта,Неполный рабочий день,Не имеет значения,1779524353,https://www.superjob.ru/vakansii/barista-51932364.html,superjob
Помощник бариста,51932399,Бариста,Перекрёсток,Москва,69100.0,72600.0,70850.0,Без опыта,Неполный рабочий день,Не имеет значения,1779524455,https://www.superjob.ru/vakansii/barista-51932399.html,superjob
