supplier_name,source_url,product_name,category,pack_size,price_rub,product_url,source_notes
KiFood,https://kifood.ru/,Сиропы,Сиропы,,,https://kifood.ru/katalog/siropy,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Кокосовое желе со вкусом зелёного яблока 2,8кг",Желе,2.8 кг,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Кокосовое желе со вкусом зелёного яблока 2,8кг",Желе,2.8 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-zeljonogo-yabloka-2-8kg,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сухая смесь для коктейлей 3в1 Бабл ти «Тирамису» 1кг,Сухие смеси,1 кг,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сухая смесь для коктейлей 3в1 Бабл ти «Тирамису» 1кг,Сухие смеси,1 кг,,https://kifood.ru/katalog/sukhie-smesi/sukhaya-smes-dlya-koktejlej-3v1-babl-ti-tiramisu-1kg,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Шарики «Поппинг боба» со вкусом сыра 850г,Джус-боллы,850 г,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Шарики «Поппинг боба» со вкусом сыра 850г,Джус-боллы,850 г,,https://kifood.ru/katalog/toppingi/shariki-popping-boba-so-vkusom-syra-850g-2,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Сироп «Дыня» 1,6л",Сиропы,1.6 л,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Сироп «Дыня» 1,6л",Сиропы,1.6 л,,https://kifood.ru/katalog/siropy/sirop-dynya-1-6l,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Cухая смесь для коктейлей со вкусом банана 1кг,Сухие смеси,1 кг,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Cухая смесь для коктейлей со вкусом банана 1кг,Сухие смеси,1 кг,,https://kifood.ru/katalog/sukhie-smesi/cukhaya-smes-dlya-koktejlej-so-vkusom-banana-1kg-2,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сухая смесь для пудинга со вкусом карамели 1кг,Пудинг,1 кг,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сухая смесь для пудинга со вкусом карамели 1кг,Пудинг,1 кг,,https://kifood.ru/katalog/sukhie-smesi/sukhaya-smes-dlya-pudinga-so-vkusom-karameli-1kg,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Пюре из таро 800г,Фруктовые пюре,800 г,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Пюре из таро 800г,Фруктовые пюре,800 г,,https://kifood.ru/katalog/toppingi/pyure-iz-taro-800g,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Кокосовое желе со вкусом дыни 2,8кг",Желе,2.8 кг,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,"Кокосовое желе со вкусом дыни 2,8кг",Желе,2.8 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-dyni-2-8kg-2,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Порошок Матча 454г,Чай,454 г,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Порошок Матча 454г,Чай,454 г,,https://kifood.ru/katalog/chai/poroshok-matcha-454-g,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Ваниль» 1л,Сиропы,1 л,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Ваниль» 1л,Сиропы,1 л,,https://kifood.ru/katalog/siropy/sirop-vanil-1-l,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Карамель» 1л,Сиропы,1 л,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Карамель» 1л,Сиропы,1 л,,https://kifood.ru/katalog/siropy/sirop-karamel-1-l,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Лесной орех» 1л,Сиропы,1 л,,,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сироп «Лесной орех» 1л,Сиропы,1 л,,https://kifood.ru/katalog/siropy/sirop-lesnoj-orekh-1-l,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/,Сиропы,Сиропы,,,https://kifood.ru/siropy,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
KiFood,https://kifood.ru/katalog/toppingi,Сиропы,Сиропы,,,https://kifood.ru/katalog/siropy,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Сиропы,Сиропы,,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Манго,Другое,,,https://kifood.ru/katalog/tag/mango,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Молоко,Молочная основа,,,https://kifood.ru/katalog/tag/moloko,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Топлёное молоко,Молочная основа,,,https://kifood.ru/katalog/tag/topljonoe-moloko,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Личи,Другое,,,https://kifood.ru/katalog/tag/lichi,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Жасмин,Чай,,,https://kifood.ru/katalog/tag/zhasmin,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Маракуйя,Другое,,,https://kifood.ru/katalog/tag/marakujya,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Клубника,Другое,,,https://kifood.ru/katalog/tag/klubnika,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Матча,Чай,,,https://kifood.ru/katalog/tag/matcha,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Алоэ,Желе,,,https://kifood.ru/katalog/tag/aloe,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Чай,Чай,,,https://kifood.ru/katalog/tag/chaj,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Пюре из таро 800г,Фруктовые пюре,800 г,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Пюре из таро 800г,Фруктовые пюре,800 г,,https://kifood.ru/katalog/toppingi/pyure-iz-taro-800g,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом черники 2,8кг",Желе,2.8 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом черники 2,8кг",Желе,2.8 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-cherniki-2-8kg-2,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом граната и клубники 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом граната и клубники 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-granata-i-klubniki-1kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом маракуйи и манго 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом маракуйи и манго 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-marakuji-i-mango-1kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом вишни 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом вишни 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-vishni-1kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом мёда и алоэ 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом мёда и алоэ 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-mjoda-i-aloe-1kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе 2,5кг",Желе,2.5 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе 2,5кг",Желе,2.5 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-2-5,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Трехцветное желе 2,5кг",Желе,2.5 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Трехцветное желе 2,5кг",Желе,2.5 кг,,https://kifood.ru/katalog/toppingi/trekhtsvetnoe-zhele-2-5kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом коллагена 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом коллагена 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-kollagena-1kg-2,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом коричневого сахара 1кг,Джус-боллы,1 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Желе «Хрустальная боба» со вкусом коричневого сахара 1кг,Джус-боллы,1 кг,,https://kifood.ru/katalog/toppingi/zhele-khrustalnaya-boba-so-vkusom-korichnevogo-sakhara-1kg-2,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом винограда 2,8кг",Желе,2.8 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом винограда 2,8кг",Желе,2.8 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-vinograda-2-8kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом зелёного яблока 2,8кг",Желе,2.8 кг,,,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,"Кокосовое желе со вкусом зелёного яблока 2,8кг",Желе,2.8 кг,,https://kifood.ru/katalog/toppingi/kokosovoe-zhele-so-vkusom-zeljonogo-yabloka-2-8kg,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/toppingi,Сиропы,Сиропы,,,https://kifood.ru/siropy,KiFood каталог: топпинги и желе
KiFood,https://kifood.ru/katalog/siropy,Сиропы,Сиропы,,,https://kifood.ru/katalog/siropy,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Сиропы,Сиропы,,,,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Манго,Другое,,,https://kifood.ru/katalog/tag/mango,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Молоко,Молочная основа,,,https://kifood.ru/katalog/tag/moloko,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Топлёное молоко,Молочная основа,,,https://kifood.ru/katalog/tag/topljonoe-moloko,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Личи,Другое,,,https://kifood.ru/katalog/tag/lichi,KiFood каталог: сиропы
KiFood,https://kifood.ru/katalog/siropy,Жасмин,Чай,,,https://kifood.ru/katalog/tag/zhasmin,KiFood каталог: сиропы
