supplier_name,url,source_type,notes
KiFood,https://kifood.ru/,static_html,"Поставщик товаров для Bubble Tea: ингредиенты, топпинги, чаи, расходные материалы"
ShopBubbleTea,https://shopbubbletea.ru/,static_html,"Магазин ингредиентов и аксессуаров для Bubble Tea в Москве и России"
BubbleJoy,https://bubblejoy.ru/,static_html,"Дистрибьютер ингредиентов для Bubble Tea в России"
ShopBubbleTea,https://shopbubbletea.ru/index.php/component/k2/itemlist/category/100-tapioka,static_html,"Категория ShopBubbleTea: тапиока"
ShopBubbleTea,https://shopbubbletea.ru/index.php/component/k2/itemlist/category/24-siropy-dlya-prigotovleniya-bubble-tea-babl-tea,static_html,"Категория ShopBubbleTea: сиропы для Bubble Tea"
ShopBubbleTea,https://shopbubbletea.ru/index.php/component/k2/itemlist/category/27-tapioka-bubble-tea-babl-tea,static_html,"Категория ShopBubbleTea: чай и кофе"
ShopBubbleTea,https://shopbubbletea.ru/index.php/component/k2/itemlist/category/25-zhele-dlya-prigotovleniya-bubble-tea-babl-tea,static_html,"Категория ShopBubbleTea: желе"
ShopBubbleTea,https://shopbubbletea.ru/index.php/k2-users/kategorii/itemlist/category/18-shariki-s-sokom-popping-boba-poping-boba-juice-balls-dzhus-bolly-v-moskve,static_html,"Категория ShopBubbleTea: джус-боллы"
ShopBubbleTea,https://shopbubbletea.ru/index.php/prajs/itemlist/category/101-posuda-i-aksessuary,static_html,"Категория ShopBubbleTea: посуда и аксессуары"
Boduo,https://boduo.ru/,static_html,"Поставщик ингредиентов Boduo Bubble Tea"
BubbleHome,https://bubble-home.ru/,static_html,"Поставщик ингредиентов BubbleHome"
BubbleHome,https://bubble-home.ru/catalog?tfc_quantity[1117848461]=y&tfc_storepartuid[1117848461]=Тапиока&tfc_div=:::,static_html,"Категория BubbleHome: тапиока"
BubbleHome,https://bubble-home.ru/catalog?tfc_quantity[1117848461]=y&tfc_storepartuid[1117848461]=Сиропы+и+Джемы&tfc_div=:::,static_html,"Категория BubbleHome: сиропы"
Bosmos,https://bosmosbubbletea.ru/,static_html,"Поставщик ингредиентов Bosmos Bubble Tea"
Bosmos,https://bosmosbubbletea.ru/tapioca,static_html,"Категория Bosmos: тапиока"
Bosmos,https://bosmosbubbletea.ru/syrups,static_html,"Категория Bosmos: сиропы"
WonderfulFoods,https://wonderful-foods.ru/,static_html,"Поставщик ингредиентов Wonderful Foods"
