query_category,query_text,wb_id,product_name,brand,price_rub,price_original_rub,discount_pct,rating,reviews_count,category,pack_size,url,source
Чай,чай габа,414752072,Габа Рубиновая GABA улун китайский чай 50 грамм,Green Edge Tea,,,,4.8,34686,Чай,50 г,https://www.wildberries.ru/catalog/414752072/detail.aspx,wildberries
Чай,чай габа,199042796,Габа Изумрудная GABA улун китайский чай 50 грамм,Green Edge Tea,,,,4.8,34686,Чай,50 г,https://www.wildberries.ru/catalog/199042796/detail.aspx,wildberries
Чай,чай габа,212419708,Чай GABA темный улун,Massaro tea,,,,4.6,305,Чай,,https://www.wildberries.ru/catalog/212419708/detail.aspx,wildberries
Чай,чай габа,751815866,"Чай Габа медовая, 50 г",Life Leaf,,,,4.7,86,Чай,50 г,https://www.wildberries.ru/catalog/751815866/detail.aspx,wildberries
Чай,чай габа,430163304,"Улун Габа китайский чай премиум, 60 гр",Уютная чаша,,,,4.7,1195,Чай,60 г,https://www.wildberries.ru/catalog/430163304/detail.aspx,wildberries
Чай,чай габа,154756233,"Китайский улун чай ГАБА Алишань темная без добавок, 50 г",TEATASTY,,,,4.7,1212,Чай,50 г,https://www.wildberries.ru/catalog/154756233/detail.aspx,wildberries
Чай,чай габа,498782777,Китайский чай Улун ГАБА ДА ХУН ПАО Красный Халат,ЧайЦи,,,,4.8,2274,Чай,,https://www.wildberries.ru/catalog/498782777/detail.aspx,wildberries
Чай,чай габа,230717441,Габа Алишань Красная GABA улун китайский чай 50 грамм,Green Edge Tea,,,,4.8,34686,Чай,50 г,https://www.wildberries.ru/catalog/230717441/detail.aspx,wildberries
Чай,чай габа,829977014,"Габа чай ""Медовые соты""",Дом 31,,,,4.9,37,Чай,,https://www.wildberries.ru/catalog/829977014/detail.aspx,wildberries
Чай,чай габа,52423074,Габа Алишань Медовая 50 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,50 г,https://www.wildberries.ru/catalog/52423074/detail.aspx,wildberries
Чай,чай габа,194923663,Габа Фермерская GABA улун китайский чай 50 грамм,Green Edge Tea,,,,4.8,34686,Чай,50 г,https://www.wildberries.ru/catalog/194923663/detail.aspx,wildberries
Чай,чай габа,872891239,Чай GABA темный улун 200г,Massaro tea,,,,4.5,15,Чай,200 г,https://www.wildberries.ru/catalog/872891239/detail.aspx,wildberries
Чай,чай габа,444663605,Китайский улун чай ГАБА Алишань Красная Габа 50 г,TEATASTY,,,,4.6,57,Чай,50 г,https://www.wildberries.ru/catalog/444663605/detail.aspx,wildberries
Чай,чай габа,373564963,Габа Чай Медовая листовой улун 100 грамм,Энергия Жизни ВИ,,,,4.7,213,Чай,100 г,https://www.wildberries.ru/catalog/373564963/detail.aspx,wildberries
Чай,чай габа,908247181,"Чай Габа Вишневая, 50 г",Life Leaf,,,,5.0,2,Чай,50 г,https://www.wildberries.ru/catalog/908247181/detail.aspx,wildberries
Чай,чай габа,421932856,Чай Габа Вишневая 100 г,Энергия Жизни ВИ,,,,5.0,3,Чай,100 г,https://www.wildberries.ru/catalog/421932856/detail.aspx,wildberries
Чай,чай габа,166766214,"ГАБА Алишань, китайский чай улун ГАМК, 100 г",Mute,,,,4.8,4523,Чай,100 г,https://www.wildberries.ru/catalog/166766214/detail.aspx,wildberries
Чай,чай габа,154755001,"Китайский улун чай ГАБА Алишань темная без добавок, 100 г",TEATASTY,,,,4.7,1115,Чай,100 г,https://www.wildberries.ru/catalog/154755001/detail.aspx,wildberries
Чай,чай габа,903244359,ГАБА красная чай листовой. Мягкая энергия и концентрация,ChelSid,,,,0.0,0,Чай,,https://www.wildberries.ru/catalog/903244359/detail.aspx,wildberries
Чай,чай габа,139309565,ГАБА чай,TEA BAR,,,,4.9,47,Чай,,https://www.wildberries.ru/catalog/139309565/detail.aspx,wildberries
Чай,чай габа,430967547,Габа чай фермерский малина 50 гр,RE:FOOD,,,,4.8,3791,Чай,50 г,https://www.wildberries.ru/catalog/430967547/detail.aspx,wildberries
Чай,чай габа,23000861,Габа Алишань 50 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,50 г,https://www.wildberries.ru/catalog/23000861/detail.aspx,wildberries
Чай,чай габа,412201532,Высокогорная габа Рубин 20гр,чайный квадрат,,,,5.0,17,Чай,20 г,https://www.wildberries.ru/catalog/412201532/detail.aspx,wildberries
Чай,чай габа,547093845,Габа Алишань Медовая 100 грамм PREMIUM,RE:FOOD,,,,4.8,3791,Чай,100 г,https://www.wildberries.ru/catalog/547093845/detail.aspx,wildberries
Чай,чай габа,173295474,"Чай габа «Лесная», китайский улун, 50 г",ЧАЁК,,,,4.8,398,Чай,50 г,https://www.wildberries.ru/catalog/173295474/detail.aspx,wildberries
Чай,чай габа,72245685,"Чай Габа Улун, 50 гр",Spirulinafood,,,,4.9,893,Чай,50 г,https://www.wildberries.ru/catalog/72245685/detail.aspx,wildberries
