cafe_name,rating,review_text,date,source_url
Nova,5,"Это не просто заведение, это мое любимое место, куда я захожу чуть ли не каждый божий день! И на то есть веские причины: Замечательные бариста. Команда просто супер! Всегда встречают с улыбкой, работают быстро и слаженно. Чувствуется, что им не всё равно, и они действительно любят своё дело. Спасибо вам за отличный сервис! Мой must-have — это Айс Бабл Кофе. Идеальный баланс крепости, сладости и нежных шариков боба. Пробовала много где, но здесь он непревзойденный! Никогда не разочаровывает. Bubble Nova — это гарантия отличного чая и хорошего настроения. Однозначно рекомендую и буду рекомендовать! ❤️",07.02.2026,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,5,"Классное место, находится в бц на фуд-корте с разными кухнями. Тут всегда быстро готовят заказ, достаточно разнообразный выбор напитков. Продавцы всегда посоветуют что-то на ваш вкус и расскажут про особенности напитка. Рядом есть столики, можно посидеть. Стаканчики очень удобные, не проливаются. Сами напитки на вкус тоже супер!",19.03.2025,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,3,"Посещаю с 2022. В последнее время каждый мой поход сюда только убеждает, что это место окончательно испортилось. Я могу по той же цене в другом месте купить себе напиток, где будет в 2 раза больше качественной тапиоки. Здесь же только один раз (за последнее время) повезло получить нормально сваренную.",30.01.2026,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,2,"22.05.2025 заказ в 20.30 Часто покупаю здесь чай и всегда было приятно и вкусно, но сегодня трижды сделали чай с ошибкой. Первый раз на вкус в двух стаканах была чистая заварка, второй раз переделали, но сделали оба горячими, хотя оба горячим, хотя просил лишь один, в третий раз переделывать не стали один стакан, а просто вылили половину жидкости + большую часть тапиоки и долили сверху заново в итоге получилось совершенно неудобоваримое нечто. Очень сожалею об этом. Свой стакан с напитком я вернул.",22.05.2025,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,5,"шикарное место, самый вкусный бабл ти который я когда либо пробовала, очень сладко и вкусно. персонал очень вежливый",12.02.2026,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,1,"Взяла напиток ""черничный мафин"", а в итоге молоко, чай и маленькая ложка недоваренной топиоки:( Может бариста забыла сироп добавить? Ну в общем разочарование, хотя очень любила это место",27.01.2026,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,3,"Что происходит с Вашим меню? Пьём нова ти четвертый год, в этом году вдруг появились напитки, которые отказываются делать без добавления льда (клубника-личи). Сегодня (10.10.2025) к этому списку почему-то добавился еще личи-персик. Попросила сделать тогда Персик с желе личи без льда, на что получила ответ, что без льда можно сделать только маленький объем (????) Пожалуйста, добавьте возможность делать без льда ЛЮБЫЕ напитки (ну или хотя бы те, которые раньше делали без льда)",10.10.2025,https://yandex.ru/maps/org/nova/232329106809/reviews/
Nova,5,"очень вкусное фраппе , прекрасная сырная пенка, отдельно хочу отметить отзывчивую и добрую бариста Анастасию",03.03.2026,https://yandex.ru/maps/org/nova/232329106809/reviews/
Teapoke bubble tea,5,"очень вкусная еда! очень приятный персонал, особенно Андрей, Нурик и Гуля❤️ также огромное спасибо повару Мираиде. все безумно вкусно. также шутки андрея всегда очень поднимают настроение, ходим сюда всегда🥰",28.04.2025,https://yandex.ru/maps/org/teapoke_bubble_tea/63621930136/reviews/
Teapoke bubble tea,4,"Уютное место, где всегда можно в тишине, спокойствии и без очередей перекусить. Из минусов: кухня несколько сдала с последнего раза, когда я здесь был + холодильник сильно поредел в плане вариантов сидров, лимонадов и пива (зато кофе и бабл Ti все ещё вкусные👌🏼) P.S. находится на территории ЖК, и проход к кафе Яндекс.Карты чертят через закрытую калитку (однако её можно спокойно обойти через шлагбаум в 80 метрах правее)",18.06.2025,https://yandex.ru/maps/org/teapoke_bubble_tea/63621930136/reviews/
