competitor,platform,post_type,content_theme,caption,likes,comments,source_url
Nova,Instagram,photo,product,"Когда обычный чай уже немного надоел, а душа просит что-то fresh, то берём Jasmine Orange 🍊✨ Жасминовый чай + свежевыжатый апельсиновый сок + сочные дольки апельсина + фруктовый джем = это буквально вкус лета в стакане. И да, тот самый момент, когда первый глоток такой: «ммм… вот это я понимаю» 😮‍💨",14,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,reel,location,"Мы открыли уже 8-ю точку🎉🎉🎉 Ждём вас с нетерпением в Кузьминки Молл на 2 этаже, чтобы радовать вкусными бабл ти 💜🤍",25,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,carousel,other,"Нет, это не фейк 👠 Мы тут обратили внимание, что в Дьявол носит Прада персонажи частенько пили наши бабл ти. И каждому из них абсолютно точно подходят эти вкусы!",33,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,carousel,location,"На улице май, значит время наслаждаться прогулками по Москве вместе с бабл ти от Nova💜 📍Лубянский проезд 25c1
📍Смоленский Пассаж 2
📍Eat Market Алкон
📍Eat Market Юго-Запад
📍Весковский переулок 6/39
📍ТЦ Европейский
📍ТЦ Авиапарк",30,2,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,carousel,product,"Он любит Таро , а она Матчу.
Он любит пряные нотки печенья🍪, а она любит сливочный вкус зеленого чая 🍵

Они разные, но оба любят побаловать себя бабл ти 🧋

Побалуй себя и ты в любой из наших точек в Москве:

📍Лубянский проезд 25c1
📍Смоленский Пассаж 2
📍Eat Market Алкон
📍Eat Market Юго-Запад
📍Весковский переулок 6/39
📍ТЦ Европейский
📍ТЦ Авиапарк",23,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,photo,product,Весной сердце бьется чаще с нашим Таро Bubble Tea 🌸🧋,18,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,photo,discount,"Есть комбо, мимо которого сложно пройти 👀

Киви-мандарин с ананасовым желе (500 мл)
Любая лапша на выбор + любой топпинг

И всё это за 590 ₽

Мы называем это «Спешл комбо» 😏

И да - это специальное предложение в честь открытия новой точки в Авиапарке ✨
Действует ограниченное время, так что лучше не откладывать",18,1,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,carousel,product,"Бывает такое, что какой-то вкус уносит тебя в самые теплые воспоминания, даже когда за окном 3 градуса.

Таро Bubble Tea 🧋 будто возвращает в те самые весенние вечера, когда тепло, спокойно и никуда не нужно спешить

Мягкий, сладкий, с нотами печенья и медовика. Вкус, с которым хочется прожить эту весну 🌸",26,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,photo,new_product,"Мы апгрейднулись 😏

Теперь помимо бабл ти вы можете взять еще и рамен🍜

В нашей новой точке стало больше Азии, а значит и больше поводов зайти

ТЦ Авиапарк, TI Балкон, 3 этаж",28,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Nova,Instagram,photo,location,"Нам хочется быть ближе к вам🤍
Поэтому мы открыли нашу 7-ю точку в ТЦ Авиапарк - Nova Bubble Tea & Ramen

Ждём вас💜
ТЦ Авиапарк, TI Балкон, 3 этаж",23,0,"NOVA BUBBLE TEA (@novateamoscow) · Moscow, Russia · Instagram photos and videos"
Teapoke bubble tea,Instagram,reel,product,#хорошевомневники #велтонпарк #bubble #баблти #weltontowers #народноеополчение,2,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,product,#bubble tea #баблти #велтонпарк #хорошевомневники,1,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,photo,atmosphere,"Погрузитесь в мир ярких и сочных вкусов с нашими напитками!
Каждый глоток чая - это телепорт в сезон ярких красок, когда можно насладиться моментом и забыть о повседневных заботах.

Попробуйте наши напитки и почувствуйте всю свежесть и сочность фруктов, которые мы так любим!☀️",9,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,photo,product,"Боул с лососем или креветкой - изысканное сочетание свежих овощей, нежного вкуса морепродуктов, создающее идеальный баланс в каждом укусе.
Нежная текстура дарят истинное удовольствие.",5,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,product,,4,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,product,#bubbletea #bobatea #poke,12,1,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,atmosphere,#баблти #bubbletea #poke #поке,8,0,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,product,#баблти #bubblete #поке #бали #сказочноебали #шаварма #сырныйчай #вафли #poke,10,2,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,atmosphere,#поке #баблти #bubbletea #poke #хорошевомневники #серф #surf #завтраки #кофе #москва #хорошкола,5,1,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Teapoke bubble tea,Instagram,reel,atmosphere,#поке #баблти #бобачай #bubbletea #bali #бали #сказочноебали #хорошевомневники #москва #серфинг #surf,13,2,TEAPOKE Bubble Tea & Poke (@teapoke_moscow) · Moscow
Jinju bubble tea,Instagram,carousel,discount,"Рассказываем о всех акциях JINJU, листай карусель!",18,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,reel,meme,Расставили приоритеты за вас 💪,3,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,carousel,product,А Вы можете представить себе жизнь совсем без бабл ти?,7,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,reel,meme,"У нее нишевые вкусы, вы не поймете 🤭",4,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,carousel,product,"Отправьте тому, кто был бы бабл тишкой вместе с нами 😋",7,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,reel,meme,"Бабл ти реально решает все проблемы, проверено🫡",13,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,carousel,product,"Интересно узнать, какие напитки у вас ассоциируются с летом! Мы начнем: персиковая матча 🍵",12,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,carousel,product,Отправляйте своему парню! За неверный ответ он должен вам бабл ти 🤭,3,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,reel,meme,С друзьями боба всегда ощущается лучше 🤭,3,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Jinju bubble tea,Instagram,carousel,atmosphere,Бабл ти спасает гораздо лучше психологов 💕,4,0,JINJU 진주 BUBBLE TEA (@jinju_coffee) • Instagram photos and videos
Mani,Instagram,reel,atmosphere,"И вы можете в этом убедиться сами !

Ждём каждого в гости с 10:00 до 22:00 🧡🤌🏻🔥

#bubbletea #баблти #bubbleteatime #тапиока #tapioca",32,2,BUBBLE TEA • MOSCOW (@mani.bubbletea)
Mani,Instagram,reel,location,"Ждём каждого во всех кофейнях за любимым bubble tea 🧡

#bubbletea #баблти #кофейня #бариста #moscow
",24,2,BUBBLE TEA • MOSCOW (@mani.bubbletea)
Mani,Instagram,reel,product,"Участь каждого кто решил просто «подработать» на лето 🤝🏻

Ждём каждого во всех кофейнях mani с 10:00 до 22:00 🧡

#bubbletea #баблти #bubbleteatime #тапиока #tea #tapioca #кофейня #бариста #лето",38,0,BUBBLE TEA • MOSCOW (@mani.bubbletea)
Mani,Instagram,reel,product,"о чувство, когда готовка на работе превратилась в целое кулинарное шоу 😅
Как думаете, Даша справилась со своей миссией ? 🤝🏻

Ждём каждого с 10:00 до 22:00 во всех кофейнях mani 🧡

#bubbletea #баблти #bubbleteatime #тапиока #tea #кулинарноешоу #сырнаямонетка #штраф #бариста",40,0,BUBBLE TEA • MOSCOW (@mani.bubbletea)
Mani,Instagram,reel,atmosphere,"Как вам результат ? Нам кажется вышло очень даже мило 🧡
Ждём каждого с 10:00 до 22:00 во всех кофейнях Mani 🧋🙂‍↕️

#bubbletea #баблти #бариста #кофейня #плёнка",30,3,BUBBLE TEA • MOSCOW (@mani.bubbletea)
